,comicID,x1,x2,x3,gmmCluster,url
1435,1436,-6.8292503,-5.0861835,5.0664926,1,"=hyperlink(""https://xkcd.com/1436/"")"
982,983,11.53321,0.52630526,-0.6132351,1,"=hyperlink(""https://xkcd.com/983/"")"
1747,1748,10.141119,-1.6621395,4.2507057,1,"=hyperlink(""https://xkcd.com/1748/"")"
353,354,7.0758324,-5.734064,8.7616205,1,"=hyperlink(""https://xkcd.com/354/"")"
1317,1318,10.442015,-2.9452033,4.8291354,1,"=hyperlink(""https://xkcd.com/1318/"")"
1316,1317,-2.116145,-2.1280594,3.3535047,1,"=hyperlink(""https://xkcd.com/1317/"")"
581,582,0.15055014,3.6450725,1.4940605,1,"=hyperlink(""https://xkcd.com/582/"")"
1764,1765,-2.3966198,-4.1110015,12.045876,1,"=hyperlink(""https://xkcd.com/1765/"")"
356,357,-6.998681,-6.495632,10.498424,1,"=hyperlink(""https://xkcd.com/357/"")"
980,981,-0.8355549,-3.207273,8.813405,1,"=hyperlink(""https://xkcd.com/981/"")"
592,593,-5.2396398,-6.365857,-3.7385738,1,"=hyperlink(""https://xkcd.com/593/"")"
348,349,-3.472369,2.6066341,6.9981904,1,"=hyperlink(""https://xkcd.com/349/"")"
1746,1747,8.7765045,-1.4494982,4.346854,1,"=hyperlink(""https://xkcd.com/1747/"")"
1488,1489,5.6542315,-8.22514,-5.837842,1,"=hyperlink(""https://xkcd.com/1489/"")"
575,576,-3.8833053,-5.324261,5.1663837,1,"=hyperlink(""https://xkcd.com/576/"")"
1387,1388,4.5693045,-3.3190036,10.663155,1,"=hyperlink(""https://xkcd.com/1388/"")"
537,538,-5.5726805,-4.204285,9.477161,1,"=hyperlink(""https://xkcd.com/538/"")"
477,478,-5.190854,-15.047788,3.5451505,1,"=hyperlink(""https://xkcd.com/478/"")"
474,475,1.7806836,-14.548164,7.279898,1,"=hyperlink(""https://xkcd.com/475/"")"
1667,1668,3.0623045,-3.1021671,9.722964,1,"=hyperlink(""https://xkcd.com/1668/"")"
1410,1411,3.5901628,-14.495517,12.313136,1,"=hyperlink(""https://xkcd.com/1411/"")"
469,470,-0.6297121,-5.157621,2.1543283,1,"=hyperlink(""https://xkcd.com/470/"")"
1383,1384,-3.3994355,-15.255894,8.310918,1,"=hyperlink(""https://xkcd.com/1384/"")"
908,909,7.1689844,1.5145808,1.6333171,1,"=hyperlink(""https://xkcd.com/909/"")"
